GAMMA      0.452190
GAMMA      1.298594
GAMMA      2.262022
GAMMA      1.566801
K_L0       0.937078
PI0        0.215964
PI0        0.827624
PI0        0.266945
K0        16.140265
K-        16.959869
GAMMA      0.243286
GAMMA      0.154224
GAMMA      0.571805
GAMMA      0.600472
GAMMA      0.028384
GAMMA      0.226293
GAMMA      0.814860
GAMMA      0.023699
GAMMA      0.118717
GAMMA      0.180414
K_S0      16.140265
PI+        9.695453
PI-        6.449968
RHO+      16.244141
RHO-       7.890125
PI0        1.457561
PI0        1.861569
OMEGA      4.578397
PI0        8.887525
RHO0      19.279625
PI0        8.938834
N          2.135507
NBAR       1.761320
RHO0       5.765919
HL_10      6.778451
B_10       1.572389
PI-        0.516476
PI+        0.273562
PI0        2.043979
PI+        6.193359
PI0       10.066545
PI-        3.233139
PI0        4.689517
GAMMA      0.218500
GAMMA      1.245297
GAMMA      0.319841
GAMMA      1.546614
PI+        1.742181
PI-        0.776451
PI0        2.103707
GAMMA      2.213864
GAMMA      6.674685
PI+       12.906552
PI-        6.386162
GAMMA      0.032895
GAMMA      8.906959
PI+        4.498215
PI-        1.309309
RHO0       3.825975
PI0        2.972933
OMEGA      1.113220
PI0        0.621118
GAMMA      1.361860
GAMMA      0.686573
GAMMA      5.821334
GAMMA      4.246115
GAMMA      0.527267
GAMMA      4.164191
GAMMA      0.497191
GAMMA      1.610842
PI+        2.229397
PI-        1.663082
GAMMA      2.382848
GAMMA      0.593149
PI+        0.416757
PI-        0.632106
PI0        0.237943
GAMMA      0.062259
GAMMA      0.573356
GAMMA      0.190444
GAMMA      0.083118
GAMMA      0.115504
PI0       12.157909
B_10      20.943827
PI+        3.841386
PI-        3.202213
PI0        1.470714
PI+        1.592229
K*0        0.406401
K*-        1.119591
PI+        0.710757
RHO-       3.413739
A_2+       1.216501
PI-        0.796722
DELTA0     7.339761
DELTABR-  18.231897
OMEGA_3    6.742593
RHO+       5.868141
GAMMA     10.590357
GAMMA      1.568303
OMEGA     12.243894
PI0        8.710000
GAMMA      0.127198
GAMMA      1.349697
K0         0.312242
PI0        0.372750
KBAR0      1.055964
PI-        0.223984
PI-        2.228853
PI0        1.259067
RHO+       1.020564
PI0        0.497221
N          5.903838
PI0        1.458071
PBAR      12.761330
PI0        5.476036
RHO+       4.616901
PI-        2.260631
PI+        4.279640
PI0        1.630953
PI+        2.724403
PI-        6.487634
PI0        3.048739
GAMMA      2.616000
GAMMA      6.095046
K_S0       0.312242
GAMMA      0.244215
GAMMA      0.152221
K_L0       1.055964
GAMMA      0.926342
GAMMA      0.339940
PI+        0.319471
PI0        0.919978
GAMMA      0.121483
GAMMA      0.393734
GAMMA      0.172540
GAMMA      1.291765
GAMMA      4.242193
GAMMA      1.235506
PI+        3.015069
PI0        1.656883
GAMMA      1.435090
GAMMA      0.201440
GAMMA      0.712755
GAMMA      2.338970
PI+        0.110430
PI-        0.385023
GAMMA      0.468495
GAMMA      0.461333
GAMMA      1.481021
GAMMA      0.181351
GAMMA      0.001432
XI*0       9.547680
XIBAR0     2.787153
RHO-       0.959770
ETA        1.794009
PI0       10.218345
K0         6.110053
PI+        2.145100
RHO0       0.678530
DELTA+     3.018571
PBAR       1.531778
KD_3-      3.322769
A_2+       2.867268
A_1+       8.208163
ETA        2.770319
SIGMA0     2.785722
DLTABR--   7.356865
PI-        0.407231
K+        21.707800
XI0        9.092914
PI0        0.463011
LAMBDABR   2.072906
PI0        0.715034
PI-        0.853731
PI0        0.339563
PI+        0.892058
PI-        0.565584
GAMMA      0.390174
GAMMA      0.838375
GAMMA      9.380861
K_S0       6.110053
PI+        0.390121
PI-        0.595841
N          2.739656
PI+        0.336196
K*BAR0     3.375671
PI-        0.235351
OMEGA      1.402450
PI+        0.563394
PI0        0.960153
RHO0       4.883112
PI+        3.353458
GAMMA      1.573148
GAMMA      1.250717
LAMBDA     2.162437
PI+        0.662202
PBAR       6.071492
PI-        1.308322
LAMBDA     7.617846
PI0        1.482246
GAMMA      0.176446
GAMMA      0.305838
PBAR       1.581247
PI+        0.496165
GAMMA      0.132384
GAMMA      0.595279
GAMMA      0.075744
GAMMA      0.289663
PI0        4.450320
PI0        1.672483
K-         3.048483
PI+        0.379538
PI+        0.388140
PI-        0.987056
PI0        0.142612
GAMMA      0.459268
GAMMA      0.510327
PI+        2.910838
PI-        2.024461
P          1.930242
PI-        0.250882
N          6.909788
PI0        0.713076
GAMMA      1.157390
GAMMA      0.330990
GAMMA      2.553298
GAMMA      1.899068
GAMMA      0.690515
GAMMA      0.987406
GAMMA      0.131159
GAMMA      0.065202
GAMMA      0.479312
GAMMA      0.246427
GAMMA      0.002974
GAMMA      0.033560
B*-       40.191475
PI+        0.569527
A_2-       2.293080
PI+        0.798046
PI0        1.356453
PI-        0.870145
PI0        2.001004
K+         3.436008
KBAR0      1.511646
PI-        0.924443
PI0        0.298901
B*+       35.607761
GAMMA      0.243384
RHO-       2.005824
PI0        0.477675
GAMMA      0.543801
GAMMA      0.819351
GAMMA      1.333104
GAMMA      0.672449
K_L0       1.511646
GAMMA      0.101008
GAMMA      0.226958
GAMMA      0.447192
PI-        1.590912
PI0        0.534746
GAMMA      0.116799
GAMMA      0.379580
GAMMA      0.320082
GAMMA      0.231437
K-         4.656862
PI0        1.593747
GAMMA      0.635145
GAMMA      0.964308
RHO+       3.905262
PI0        1.544204
K+         5.304565
DH_S1-    24.568008
PI+        3.774477
PI0        0.152149
GAMMA      0.698055
GAMMA      0.852038
D*-       20.837601
KBAR0      3.731126
GAMMA      0.131367
GAMMA      0.072027
D-        19.538902
PI0        1.299208
K_L0       3.731126
K0         4.639627
A_1-      14.911230
GAMMA      1.177589
GAMMA      0.128610
K_S0       4.639627
RHO0       6.528336
PI-        8.387123
PI0        1.873978
PI0        2.784140
PI+        3.087801
PI-        3.479837
GAMMA      1.503706
GAMMA      0.375127
GAMMA      2.269599
GAMMA      0.517810
PI+        7.083186
PI-        9.425113
PI0        6.188677
PI+        4.396594
RHO0       5.897846
PI-        0.959225
GAMMA      0.420701
GAMMA      5.769447
PI+        3.709585
PI-        2.231328
GAMMA      0.012442
D0        20.693863
PI0        9.191743
DELTA0     5.613196
DELTABR+   7.386334
K0         0.777969
K-         1.335491
RHO0       3.797705
RHO0       1.928391
PI0        2.790194
PI-        0.584509
A_1+       1.060852
ETA        0.450267
PI+        0.689143
D*-       33.191837
K-         7.025650
PI0        2.237568
NU_MU      4.766882
MU+        6.725376
GAMMA      1.084156
GAMMA      8.108577
N          3.821380
PI0        1.806579
NBAR       4.442250
PI+        2.944543
K_L0       0.777969
PI+        1.893376
PI-        1.971533
PI+        1.784730
PI-        0.249928
GAMMA      0.400199
GAMMA      2.393260
RHO+       1.110828
PI0        0.236927
GAMMA      0.345470
GAMMA      0.363246
D-        31.189182
PI0        2.002947
GAMMA      0.555563
GAMMA      1.686074
GAMMA      0.078921
GAMMA      1.732694
PI+        0.930446
PI0        0.387938
GAMMA      0.025325
GAMMA      0.247355
K0        20.017979
PI-       11.220119
GAMMA      0.960269
GAMMA      1.047221
GAMMA      0.209694
GAMMA      0.201057
K_L0      20.017979
SIGMA_C+  32.727749
NBAR       7.057571
PI0        0.233070
A_1-       5.207946
PI+        1.766609
K0         1.347796
PHI        6.110828
DL_S1-    25.072792
KBAR0      7.789144
K0         3.191308
LMBDA_C+  29.380371
PI0        3.347789
GAMMA      0.233698
GAMMA      0.035636
RHO-       3.366195
PI0        1.893279
K_S0       1.347796
K_L0       3.640071
K_S0       2.471734
D-        18.710629
KBAR0      6.377499
K_S0       7.789144
K_L0       3.191308
NU_MU      8.483260
MU+        3.067208
LAMBDA    17.882027
GAMMA      0.055013
GAMMA      3.295496
PI-        2.123558
PI0        1.318106
GAMMA      1.032639
GAMMA      0.865447
PI0        0.116810
PI0        1.250976
PI+        1.487320
PI-        1.017959
K0         2.990000
A_1-      15.724604
K_S0       6.377499
PI0        6.907522
PI0        0.885962
P         16.525852
PI-        1.357176
GAMMA      0.075562
GAMMA      1.249437
GAMMA      0.061940
GAMMA      0.116565
GAMMA      1.193749
GAMMA      0.064488
K_L0       2.990000
RHO-      13.789380
PI0        1.957126
PI+        4.511912
PI-        1.877636
GAMMA      1.574217
GAMMA      5.334623
GAMMA      0.700790
GAMMA      0.195395
PI-        8.673675
PI0        5.134291
GAMMA      1.917752
GAMMA      0.044024
GAMMA      4.505624
GAMMA      0.630441
GAMMA     10.510593
GAMMA      1.355452
